prefix,Y1_size,Y2_size,U,U_time,dominated_points,dominated_relative_Y2,t1,t2,s1,s2,seed,ub_level
l-l_10_10_lexmin_1_,10,10,18,0.0021140575408935547,0,0.0,l,l,10,10,1,lexmin
l-l_10_10_lexmin_2_,10,10,7,0.0007071495056152344,0,0.0,l,l,10,10,2,lexmin
l-l_10_10_lexmin_3_,10,10,18,0.001867055892944336,0,0.0,l,l,10,10,3,lexmin
l-l_10_10_lexmin_4_,10,10,10,0.0010111331939697266,0,0.0,l,l,10,10,4,lexmin
l-l_10_10_lexmin_5_,10,10,7,0.0006990432739257812,0,0.0,l,l,10,10,5,lexmin
l-m_10_10_lexmin_1_,10,10,16,0.0016968250274658203,0,0.0,l,m,10,10,1,lexmin
l-m_10_10_lexmin_2_,10,10,7,0.0006799697875976562,0,0.0,l,m,10,10,2,lexmin
l-m_10_10_lexmin_3_,10,10,9,0.0008418560028076172,0,0.0,l,m,10,10,3,lexmin
l-m_10_10_lexmin_4_,10,10,15,0.0016798973083496094,0,0.0,l,m,10,10,4,lexmin
l-m_10_10_lexmin_5_,10,10,9,0.0009279251098632812,0,0.0,l,m,10,10,5,lexmin
l-u_10_10_lexmin_1_,10,10,19,0.002306222915649414,1,0.1,l,u,10,10,1,lexmin
l-u_10_10_lexmin_2_,10,10,12,0.0013620853424072266,2,0.2,l,u,10,10,2,lexmin
l-u_10_10_lexmin_3_,10,10,11,0.0011508464813232422,0,0.0,l,u,10,10,3,lexmin
l-u_10_10_lexmin_4_,10,10,16,0.0019898414611816406,6,0.6,l,u,10,10,4,lexmin
l-u_10_10_lexmin_5_,10,10,5,0.0004949569702148438,0,0.0,l,u,10,10,5,lexmin
m-l_10_10_lexmin_1_,10,10,18,0.002232074737548828,0,0.0,m,l,10,10,1,lexmin
m-l_10_10_lexmin_2_,10,10,15,0.0018360614776611328,0,0.0,m,l,10,10,2,lexmin
m-l_10_10_lexmin_3_,10,10,17,0.002246856689453125,0,0.0,m,l,10,10,3,lexmin
m-l_10_10_lexmin_4_,10,10,16,0.002149820327758789,0,0.0,m,l,10,10,4,lexmin
m-l_10_10_lexmin_5_,10,10,24,0.00341796875,0,0.0,m,l,10,10,5,lexmin
m-m_10_10_lexmin_1_,10,10,18,0.0028421878814697266,0,0.0,m,m,10,10,1,lexmin
m-m_10_10_lexmin_2_,10,10,15,0.002215147018432617,0,0.0,m,m,10,10,2,lexmin
m-m_10_10_lexmin_3_,10,10,13,0.001983165740966797,0,0.0,m,m,10,10,3,lexmin
m-m_10_10_lexmin_4_,10,10,18,0.002881765365600586,0,0.0,m,m,10,10,4,lexmin
m-m_10_10_lexmin_5_,10,10,17,0.0026998519897460938,0,0.0,m,m,10,10,5,lexmin
m-u_10_10_lexmin_1_,10,10,16,0.0024569034576416016,4,0.4,m,u,10,10,1,lexmin
m-u_10_10_lexmin_2_,10,10,17,0.002576112747192383,3,0.3,m,u,10,10,2,lexmin
m-u_10_10_lexmin_3_,10,10,16,0.0023310184478759766,1,0.1,m,u,10,10,3,lexmin
m-u_10_10_lexmin_4_,10,10,13,0.0018665790557861328,0,0.0,m,u,10,10,4,lexmin
m-u_10_10_lexmin_5_,10,10,19,0.0027921199798583984,5,0.5,m,u,10,10,5,lexmin
u-l_10_10_lexmin_1_,10,10,15,0.002341032028198242,0,0.0,u,l,10,10,1,lexmin
u-l_10_10_lexmin_2_,10,10,10,0.0016319751739501953,0,0.0,u,l,10,10,2,lexmin
u-l_10_10_lexmin_3_,10,10,20,0.0032799243927001953,0,0.0,u,l,10,10,3,lexmin
u-l_10_10_lexmin_4_,10,10,7,0.0010979175567626953,0,0.0,u,l,10,10,4,lexmin
